delta
step	origin_time	contract_time
8192	0.8684852999999999	0.7927242000000001
16384	0.5211462	0.46179500000000007
32768	0.3772529	0.322309
65536	0.33329700000000007	0.2562655
131072	0.32219430000000004	0.23443019999999998
262144	0.2959135	0.20074479999999997
524288	0.46920780000000006	0.18214519999999998
1048576	0.5982313	0.2109134
2097152	0.5935359	0.23686449999999998
4194304	0.5826268	0.2312176
8388608	0.5949572	0.2371972
16777216	0.6050201000000001	0.23789509999999997
33554432	0.6035132	0.23812840000000005
rho
step	origin_time	contract_time
8192	0.7015532	0.42853449999999993
16384	0.45491279999999995	0.2715395
32768	0.3729251	0.2207558
65536	0.3700335	0.20469790000000004
131072	0.4294004	0.219711
262144	0.5568834999999999	0.2317465
524288	0.5909409000000001	0.2354346
1048576	0.5927931	0.2367839
2097152	0.5960036000000001	0.2410252
4194304	0.5876970000000001	0.24080570000000004
8388608	0.5874396	0.24250019999999997
16777216	0.5931055000000001	0.23973740000000002
33554432	0.5972896000000001	0.24434259999999997
