Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/sd_arc_sym.bin: |V|=89247739, |E|=3880015728, param=4194304, num_src=25, num_round=10
source 0: 15374731  
11 Warmup Round: 3.251773
9 Round 1: 3.275066
10 Round 2: 3.233040
10 Round 3: 3.000585
10 Round 4: 3.098652
10 Round 5: 2.992807
10 Round 6: 2.987483
9 Round 7: 3.095124
9 Round 8: 3.071283
11 Round 9: 3.115482
10 Round 10: 3.250423
12 Warmup Round: 2.977810
12 Round 1: 3.197209
12 Round 2: 3.148592
11 Round 3: 3.006088
12 Round 4: 3.040588
11 Round 5: 3.042175
11 Round 6: 3.014533
11 Round 7: 3.159370
12 Round 8: 3.004006
11 Round 9: 3.049015
11 Round 10: 3.084438
Average time: 3.111995	3.074601

source 1: 83538523  
10 Warmup Round: 4.646063
11 Round 1: 4.588978
11 Round 2: 4.346652
10 Round 3: 4.379235
12 Round 4: 4.551776
14 Round 5: 4.493206
10 Round 6: 4.645347
12 Round 7: 4.603520
11 Round 8: 4.538217
13 Round 9: 4.749884
11 Round 10: 4.687742
15 Warmup Round: 4.510395
14 Round 1: 4.358595
15 Round 2: 4.704748
14 Round 3: 4.584586
14 Round 4: 4.491415
14 Round 5: 4.751166
15 Round 6: 4.153749
13 Round 7: 4.546857
16 Round 8: 4.600660
15 Round 9: 5.040095
15 Round 10: 4.681017
Average time: 4.558456	4.591289

source 2: 50043166  
11 Warmup Round: 2.879309
11 Round 1: 2.691463
11 Round 2: 2.706827
11 Round 3: 2.682370
11 Round 4: 2.698683
11 Round 5: 2.682373
11 Round 6: 2.650609
11 Round 7: 2.652145
11 Round 8: 2.710614
11 Round 9: 2.671736
12 Round 10: 2.628622
12 Warmup Round: 2.657131
11 Round 1: 2.705798
12 Round 2: 2.651069
12 Round 3: 2.607969
11 Round 4: 2.629930
12 Round 5: 2.718465
12 Round 6: 2.567503
12 Round 7: 2.552361
12 Round 8: 2.621918
12 Round 9: 2.641991
12 Round 10: 2.631410
Average time: 2.677544	2.632841

source 3: 83144418  
10 Warmup Round: 2.708565
11 Round 1: 2.674222
10 Round 2: 2.690588
10 Round 3: 2.744356
11 Round 4: 2.670433
10 Round 5: 2.678554
11 Round 6: 2.620952
11 Round 7: 2.635902
12 Round 8: 2.621807
11 Round 9: 2.728311
11 Round 10: 2.749840
12 Warmup Round: 2.681138
14 Round 1: 2.701348
11 Round 2: 2.677123
16 Round 3: 2.697013
13 Round 4: 2.652871
11 Round 5: 2.678787
12 Round 6: 2.712880
13 Round 7: 2.743688
13 Round 8: 2.742627
11 Round 9: 2.649566
11 Round 10: 2.608396
Average time: 2.681497	2.686430

source 4: 53870671  
9 Warmup Round: 2.266398
9 Round 1: 2.274895
9 Round 2: 2.253718
10 Round 3: 2.216360
9 Round 4: 2.242768
9 Round 5: 2.260113
9 Round 6: 2.275463
9 Round 7: 2.226787
9 Round 8: 2.300707
9 Round 9: 2.235791
9 Round 10: 2.204930
12 Warmup Round: 4.058763
12 Round 1: 4.175604
11 Round 2: 4.155071
10 Round 3: 4.002134
11 Round 4: 3.973900
13 Round 5: 4.077329
11 Round 6: 4.174902
10 Round 7: 3.953731
10 Round 8: 4.164863
11 Round 9: 4.130861
13 Round 10: 4.183716
Average time: 2.249153	4.099211

source 5: 32663278  
14 Warmup Round: 3.263163
12 Round 1: 3.255283
12 Round 2: 3.320230
12 Round 3: 3.308993
10 Round 4: 3.332923
11 Round 5: 3.238274
11 Round 6: 3.328294
11 Round 7: 3.283549
14 Round 8: 3.193766
11 Round 9: 3.287573
12 Round 10: 3.161125
15 Warmup Round: 3.189462
16 Round 1: 3.314601
16 Round 2: 3.196234
12 Round 3: 3.226967
16 Round 4: 3.164692
14 Round 5: 3.276361
15 Round 6: 3.219571
14 Round 7: 3.189472
16 Round 8: 3.289355
14 Round 9: 3.201015
16 Round 10: 3.228079
Average time: 3.271001	3.230635

source 6: 55680021  
11 Warmup Round: 3.039145
11 Round 1: 3.107502
11 Round 2: 3.156512
12 Round 3: 3.076605
11 Round 4: 3.089982
11 Round 5: 3.136942
11 Round 6: 3.074256
12 Round 7: 3.110101
11 Round 8: 3.199147
11 Round 9: 3.095533
11 Round 10: 3.092783
12 Warmup Round: 3.113007
11 Round 1: 3.118014
12 Round 2: 3.079914
12 Round 3: 3.099689
12 Round 4: 3.093386
12 Round 5: 3.026448
13 Round 6: 3.140430
12 Round 7: 3.048782
12 Round 8: 3.049760
12 Round 9: 3.107799
14 Round 10: 3.254163
Average time: 3.113936	3.101839

source 7: 74270785  
11 Warmup Round: 2.502669
9 Round 1: 2.530452
10 Round 2: 2.527857
12 Round 3: 2.511322
9 Round 4: 2.679125
10 Round 5: 2.526944
10 Round 6: 2.527742
10 Round 7: 2.565671
10 Round 8: 2.550225
11 Round 9: 2.481674
10 Round 10: 2.549598
9 Warmup Round: 3.868237
11 Round 1: 3.966676
11 Round 2: 4.067065
11 Round 3: 3.920847
11 Round 4: 3.884834
11 Round 5: 3.975235
11 Round 6: 3.908134
11 Round 7: 3.885071
11 Round 8: 3.911947
11 Round 9: 4.011774
11 Round 10: 3.978470
Average time: 2.545061	3.951005

source 8: 46248792  
12 Warmup Round: 2.592255
12 Round 1: 2.537178
12 Round 2: 2.558173
12 Round 3: 2.620645
12 Round 4: 2.653564
12 Round 5: 2.609502
12 Round 6: 2.536795
12 Round 7: 2.685358
12 Round 8: 2.629419
12 Round 9: 2.590080
12 Round 10: 2.594024
13 Warmup Round: 2.503290
13 Round 1: 2.568790
12 Round 2: 2.532742
14 Round 3: 2.542281
11 Round 4: 2.563024
14 Round 5: 2.552085
11 Round 6: 2.540216
13 Round 7: 2.550586
12 Round 8: 2.528036
15 Round 9: 2.503789
14 Round 10: 2.592864
Average time: 2.601474	2.547441

source 9: 14438379  
12 Warmup Round: 3.459505
13 Round 1: 3.500483
12 Round 2: 3.490157
13 Round 3: 3.366990
13 Round 4: 3.532640
12 Round 5: 3.464593
13 Round 6: 3.461805
12 Round 7: 3.419210
13 Round 8: 3.401851
13 Round 9: 3.358637
12 Round 10: 3.490770
13 Warmup Round: 3.501360
12 Round 1: 3.576855
14 Round 2: 3.433656
12 Round 3: 3.631008
12 Round 4: 3.318470
12 Round 5: 3.369878
12 Round 6: 3.414229
12 Round 7: 3.508437
13 Round 8: 3.399816
12 Round 9: 3.444368
12 Round 10: 3.551239
Average time: 3.448714	3.464796

source 10: 17077283  
3 Warmup Round: 0.062830
3 Round 1: 0.024620
3 Round 2: 0.022098
3 Round 3: 0.012760
3 Round 4: 0.019315
3 Round 5: 0.022564
3 Round 6: 0.018306
3 Round 7: 0.011591
3 Round 8: 0.023960
3 Round 9: 0.016424
3 Round 10: 0.029198
3 Warmup Round: 0.055987
3 Round 1: 0.056597
3 Round 2: 0.052591
3 Round 3: 0.051410
3 Round 4: 0.054632
3 Round 5: 0.056211
3 Round 6: 0.060910
3 Round 7: 0.052130
3 Round 8: 0.059623
3 Round 9: 0.064193
3 Round 10: 0.049270
Average time: 0.020084	0.055757

source 11: 30503288  
12 Warmup Round: 2.836298
12 Round 1: 2.734619
12 Round 2: 2.794382
12 Round 3: 2.800995
12 Round 4: 2.836705
12 Round 5: 2.813870
12 Round 6: 2.817491
12 Round 7: 2.868245
12 Round 8: 2.793747
12 Round 9: 2.763136
12 Round 10: 2.761631
11 Warmup Round: 2.703806
10 Round 1: 2.740053
12 Round 2: 2.817246
12 Round 3: 2.803243
11 Round 4: 2.791614
11 Round 5: 2.783133
11 Round 6: 2.733048
11 Round 7: 2.740328
12 Round 8: 2.774635
12 Round 9: 2.752243
12 Round 10: 2.775791
Average time: 2.798482	2.771133

source 12: 49715847  
10 Warmup Round: 3.114278
12 Round 1: 3.082140
11 Round 2: 3.093143
12 Round 3: 2.939358
15 Round 4: 3.015809
12 Round 5: 3.204437
12 Round 6: 3.274135
14 Round 7: 3.101312
11 Round 8: 3.151013
13 Round 9: 3.126707
12 Round 10: 3.063830
14 Warmup Round: 3.024832
12 Round 1: 3.169158
12 Round 2: 3.134893
13 Round 3: 3.119479
13 Round 4: 3.017163
12 Round 5: 3.061365
13 Round 6: 2.864226
14 Round 7: 3.058469
14 Round 8: 3.112054
16 Round 9: 3.262849
14 Round 10: 3.162837
Average time: 3.105188	3.096249

source 13: 84851845  
12 Warmup Round: 2.896485
12 Round 1: 2.805838
13 Round 2: 2.893507
13 Round 3: 2.853930
12 Round 4: 2.849871
12 Round 5: 2.881903
12 Round 6: 2.838453
12 Round 7: 2.822183
12 Round 8: 2.884109
12 Round 9: 2.733333
12 Round 10: 2.823981
12 Warmup Round: 2.727191
11 Round 1: 2.764575
10 Round 2: 2.682969
11 Round 3: 2.655189
11 Round 4: 2.673008
13 Round 5: 3.037892
11 Round 6: 2.698547
12 Round 7: 2.712444
13 Round 8: 2.719342
11 Round 9: 2.740812
12 Round 10: 2.634837
Average time: 2.838711	2.731962

source 14: 39100487  
12 Warmup Round: 2.590340
13 Round 1: 2.579710
12 Round 2: 2.583378
12 Round 3: 2.570389
12 Round 4: 2.599221
13 Round 5: 2.642168
12 Round 6: 2.583090
