delta
step	origin_time	contract_time
8192	3.2025309999999996	2.9700575000000002
16384	1.6945846	1.5694091000000001
32768	0.9214411	0.8439673000000001
65536	0.5154256000000002	0.4746321
131072	0.3145193	0.2752591
262144	0.2357641	0.1909352
524288	0.22674700000000003	0.16408930000000002
1048576	0.2215939	0.16647859999999998
2097152	0.2220226	0.1607111
4194304	0.34690000000000004	0.17509450000000001
8388608	0.41490269999999996	0.30598479999999995
16777216	0.3945787	0.3518318000000001
33554432	0.4278574	0.3660469
rho
step	origin_time	contract_time
8192	0.8597071999999999	0.5566873000000001
16384	0.48363559999999994	0.3180052
32768	0.3332267	0.2300964
65536	0.2807469	0.19769470000000003
131072	0.3043303	0.21610610000000002
262144	0.3666433	0.27463699999999996
524288	0.4139584	0.33599490000000004
1048576	0.38536890000000007	0.3458271
2097152	0.4008464000000001	0.3443054
4194304	0.40162809999999993	0.3458611
8388608	0.41154589999999996	0.3449116
16777216	0.42330760000000006	0.3483593
33554432	0.3854621	0.34866660000000005
