delta
step	origin_time	contract_time
16384	1.4465586	0.2866931	0.09392180000000001
32768	0.7696577	0.16896450000000002	0.08018129999999998
65536	0.44310689999999997	0.1248286	0.0748165
131072	0.2849252	0.08055920000000001	0.052368899999999996
262144	0.2180651	0.074688	0.05565880000000001
524288	0.17069779999999998	0.0702996	0.0585058
1048576	0.17238730000000002	0.06277519999999999	0.0527489
2097152	0.23504969999999997	0.0741008	0.0647622
4194304	0.29570130000000006	0.0694748	0.059721800000000005
8388608	0.2943752	0.0684261	0.058640700000000004
16777216	0.2963202	0.0754012	0.06578959999999999
33554432	0.2876491	0.07105209999999999	0.0612201
