delta
step	origin_time	contract_time
16384	0.5955719	0.4527259999999999	0.0846926
32768	0.351268	0.28107860000000007	0.08953175
65536	0.23152720000000002	0.19577125	0.08489725000000001
131072	0.17543445000000005	0.1442387	0.08505505000000001
262144	0.16348410000000002	0.12518875000000002	0.08642854999999999
524288	0.17186620000000002	0.1150286	0.08775385
1048576	0.20908960000000004	0.11448154999999997	0.09083084999999998
2097152	0.28803059999999997	0.10808814999999998	0.08400769999999999
4194304	0.36336815	0.12008855	0.09201340000000001
8388608	0.3630146500000001	0.11786144999999999	0.08546725000000001
16777216	0.37196355000000003	0.1215025	0.089923
33554432	0.3655878	0.11785079999999999	0.08485285000000001
