delta
step	origin_time	contract_time
16384	3.8188680000000006	0.2404405	0.1121686
32768	1.9446282	0.18386189999999997	0.1091259
65536	1.0698839999999998	0.154639	0.1120322
131072	0.6239009	0.1258102	0.09760250000000001
262144	0.32683350000000005	0.10792000000000002	0.0865972
524288	0.2142017	0.105984	0.0881738
1048576	0.19230720000000004	0.10945519999999997	0.0939602
2097152	0.17770200000000003	0.0847004	0.0705354
4194304	0.21940160000000003	0.0999805	0.08615300000000001
8388608	0.37505989999999995	0.0972549	0.08274810000000002
16777216	0.39843310000000004	0.1377874	0.1226497
33554432	0.40246850000000006	0.10452589999999999	0.0905719
