Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/zwan018/origin/grid_10_1000000.bin: |V|=10000000, |E|=40000000, param=8192, num_src=5, num_round=5
source 0: 329511    
262144 Warmup Round: 1.227648
262144 Round 1: 1.238997
262144 Round 2: 1.233587
262144 Round 3: 1.238736
262144 Round 4: 1.250167
262144 Round 5: 1.226424
262144 Warmup Round: 1.201852
262144 Round 1: 1.225750
262144 Round 2: 1.212135
262144 Round 3: 1.212047
262144 Round 4: 1.192944
262144 Round 5: 1.193495
Average time: 1.237582	1.207274

source 1: 8713910   
262144 Warmup Round: 1.171400
262144 Round 1: 1.182017
262144 Round 2: 1.147763
262144 Round 3: 1.148089
262144 Round 4: 1.144303
262144 Round 5: 1.159423
262144 Warmup Round: 1.191034
262144 Round 1: 1.191612
262144 Round 2: 1.180526
262144 Round 3: 1.178853
262144 Round 4: 1.170095
262144 Round 5: 1.182930
Average time: 1.156319	1.180803

source 2: 8448204   
262143 Warmup Round: 1.158950
262143 Round 1: 1.146244
262143 Round 2: 1.151275
262143 Round 3: 1.132519
262143 Round 4: 1.131536
262143 Round 5: 1.132453
262144 Warmup Round: 1.180357
262144 Round 1: 1.169352
262144 Round 2: 1.184089
262144 Round 3: 1.185514
262144 Round 4: 1.186400
262144 Round 5: 1.166567
Average time: 1.138805	1.178384

source 3: 2612764   
262144 Warmup Round: 1.171587
262144 Round 1: 1.151954
262144 Round 2: 1.152431
262144 Round 3: 1.148751
262144 Round 4: 1.151922
262144 Round 5: 1.139365
262144 Warmup Round: 1.172771
262144 Round 1: 1.146060
262144 Round 2: 1.172627
262144 Round 3: 1.158477
262144 Round 4: 1.157032
262144 Round 5: 1.159064
Average time: 1.148885	1.158652

source 4: 6348061   
262144 Warmup Round: 1.177502
262144 Round 1: 1.145321
262144 Round 2: 1.160026
262144 Round 3: 1.137923
262144 Round 4: 1.132204
262144 Round 5: 1.142093
262143 Warmup Round: 1.227312
262143 Round 1: 1.199817
262143 Round 2: 1.172009
262143 Round 3: 1.190547
262143 Round 4: 1.174304
262143 Round 5: 1.173146
Average time: 1.143513	1.181965

