Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/web-Google_sym.bin: |V|=875713, |E|=8644102, param=1048576, num_src=25, num_round=10
source 0: 739296    
8 Warmup Round: 0.020488
7 Round 1: 0.013003
8 Round 2: 0.015169
8 Round 3: 0.012822
8 Round 4: 0.014984
8 Round 5: 0.013816
7 Round 6: 0.013029
8 Round 7: 0.013914
8 Round 8: 0.012696
8 Round 9: 0.013915
8 Round 10: 0.012512
7 Warmup Round: 0.021734
7 Round 1: 0.019565
5 Round 2: 0.016209
8 Round 3: 0.017052
6 Round 4: 0.017150
8 Round 5: 0.016356
6 Round 6: 0.017282
6 Round 7: 0.017767
5 Round 8: 0.016694
6 Round 9: 0.016749
5 Round 10: 0.016642
Average time: 0.013586	0.017147

source 1: 498356    
8 Warmup Round: 0.013679
8 Round 1: 0.013303
8 Round 2: 0.014445
8 Round 3: 0.012300
8 Round 4: 0.013345
8 Round 5: 0.011915
8 Round 6: 0.013376
8 Round 7: 0.013953
9 Round 8: 0.013528
8 Round 9: 0.013281
8 Round 10: 0.013144
5 Warmup Round: 0.019389
6 Round 1: 0.020425
6 Round 2: 0.021051
7 Round 3: 0.017722
5 Round 4: 0.019558
7 Round 5: 0.020711
6 Round 6: 0.016969
6 Round 7: 0.019905
7 Round 8: 0.021463
6 Round 9: 0.018816
6 Round 10: 0.025532
Average time: 0.013259	0.020215

source 2: 480923    
8 Warmup Round: 0.017344
8 Round 1: 0.016608
8 Round 2: 0.016284
8 Round 3: 0.020612
8 Round 4: 0.017803
8 Round 5: 0.019104
8 Round 6: 0.015038
8 Round 7: 0.013760
8 Round 8: 0.015511
8 Round 9: 0.016958
8 Round 10: 0.014872
8 Warmup Round: 0.019900
6 Round 1: 0.020495
6 Round 2: 0.018728
8 Round 3: 0.027861
7 Round 4: 0.019623
8 Round 5: 0.021893
8 Round 6: 0.023538
9 Round 7: 0.020644
8 Round 8: 0.018711
6 Round 9: 0.018532
8 Round 10: 0.021614
Average time: 0.016655	0.021164

source 3: 653291    
9 Warmup Round: 0.014773
9 Round 1: 0.012562
9 Round 2: 0.012555
9 Round 3: 0.015370
8 Round 4: 0.015313
9 Round 5: 0.012092
9 Round 6: 0.013492
8 Round 7: 0.014353
9 Round 8: 0.014677
