delta
step	origin_time	contract_time
65536	0.015250120000000002	0.013243360000000004
131072	0.013317559999999999	0.011276000000000001
262144	0.01369508	0.01219484
1048576	0.014091479999999997	0.012196799999999999
2097152	0.01342392	0.0132338
4194304	0.013265279999999999	0.012145280000000003
8388608	0.013479640000000001	0.01210344
rho
step	origin_time	contract_time
65536	0.01674604	0.01403596
131072	0.01493064	0.01321924
262144	0.014434919999999997	0.013171319999999997
1048576	0.015031720000000004	0.012518520000000002
2097152	0.0147646	0.012842599999999996
4194304	0.0143092	0.01332184
8388608	0.014135679999999998	0.012972119999999997
