Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/web-Google_sym.bin: |V|=875713, |E|=8644102, param=262144, num_src=25, num_round=10
7 Round 9: 0.018941
7 Round 10: 0.018128
Average time: 0.014420	0.018015

source 10: 765409    
9 Warmup Round: 0.015054
9 Round 1: 0.014908
9 Round 2: 0.014713
9 Round 3: 0.014877
9 Round 4: 0.016157
9 Round 5: 0.017384
9 Round 6: 0.015969
9 Round 7: 0.016101
9 Round 8: 0.016291
9 Round 9: 0.017788
9 Round 10: 0.017912
9 Warmup Round: 0.018506
8 Round 1: 0.017560
10 Round 2: 0.017125
9 Round 3: 0.019048
9 Round 4: 0.015720
9 Round 5: 0.018251
9 Round 6: 0.018847
9 Round 7: 0.016631
8 Round 8: 0.017987
9 Round 9: 0.017086
10 Round 10: 0.016254
Average time: 0.016210	0.017451

source 11: 54163     
11 Warmup Round: 0.014410
10 Round 1: 0.015536
10 Round 2: 0.015068
11 Round 3: 0.014121
10 Round 4: 0.014653
10 Round 5: 0.013187
10 Round 6: 0.014343
10 Round 7: 0.016742
10 Round 8: 0.012720
10 Round 9: 0.014846
11 Round 10: 0.014482
8 Warmup Round: 0.024180
8 Round 1: 0.020729
10 Round 2: 0.022046
10 Round 3: 0.020445
10 Round 4: 0.019169
10 Round 5: 0.018786
9 Round 6: 0.020286
9 Round 7: 0.018656
9 Round 8: 0.018768
8 Round 9: 0.018594
10 Round 10: 0.019130
Average time: 0.014570	0.019661

source 12: 177735    
9 Warmup Round: 0.012925
9 Round 1: 0.011628
9 Round 2: 0.011578
9 Round 3: 0.012440
9 Round 4: 0.013080
9 Round 5: 0.011668
9 Round 6: 0.012600
9 Round 7: 0.011852
9 Round 8: 0.011478
9 Round 9: 0.011639
9 Round 10: 0.012448
11 Warmup Round: 0.017574
8 Round 1: 0.014320
9 Round 2: 0.016944
9 Round 3: 0.016767
9 Round 4: 0.014836
8 Round 5: 0.014656
9 Round 6: 0.016056
9 Round 7: 0.018263
9 Round 8: 0.016026
10 Round 9: 0.015135
9 Round 10: 0.015374
Average time: 0.012041	0.015838

source 13: 660148    
8 Warmup Round: 0.013501
8 Round 1: 0.013153
8 Round 2: 0.011275
8 Round 3: 0.013133
8 Round 4: 0.012556
8 Round 5: 0.013421
8 Round 6: 0.012899
8 Round 7: 0.012913
8 Round 8: 0.012963
8 Round 9: 0.013669
8 Round 10: 0.012105
9 Warmup Round: 0.022257
7 Round 1: 0.016022
7 Round 2: 0.016485
9 Round 3: 0.018025
6 Round 4: 0.017041
6 Round 5: 0.015544
9 Round 6: 0.017109
10 Round 7: 0.015738
7 Round 8: 0.016662
9 Round 9: 0.016155
6 Round 10: 0.015818
Average time: 0.012809	0.016460

source 14: 20075     
8 Warmup Round: 0.041261
8 Round 1: 0.015396
8 Round 2: 0.017797
8 Round 3: 0.020297
8 Round 4: 0.030197
8 Round 5: 0.015586
8 Round 6: 0.019802
8 Round 7: 0.016108
8 Round 8: 0.016542
8 Round 9: 0.015841
8 Round 10: 0.015814
6 Warmup Round: 0.021831
8 Round 1: 0.022258
7 Round 2: 0.021938
5 Round 3: 0.020197
7 Round 4: 0.021717
8 Round 5: 0.022750
8 Round 6: 0.022397
7 Round 7: 0.021108
7 Round 8: 0.023093
7 Round 9: 0.021831
7 Round 10: 0.022985
Average time: 0.018338	0.022027

source 15: 465146    
8 Warmup Round: 0.015557
8 Round 1: 0.014891
8 Round 2: 0.015718
8 Round 3: 0.014084
8 Round 4: 0.015170
8 Round 5: 0.016479
8 Round 6: 0.014765
8 Round 7: 0.014312
8 Round 8: 0.014835
8 Round 9: 0.014481
8 Round 10: 0.015324
7 Warmup Round: 0.020369
7 Round 1: 0.020889
9 Round 2: 0.018727
7 Round 3: 0.020379
8 Round 4: 0.019107
8 Round 5: 0.019887
7 Round 6: 0.029828
9 Round 7: 0.019586
6 Round 8: 0.020550
7 Round 9: 0.020606
7 Round 10: 0.020010
Average time: 0.015006	0.020957

source 16: 835039    
9 Warmup Round: 0.012962
8 Round 1: 0.012469
8 Round 2: 0.039715
8 Round 3: 0.013658
8 Round 4: 0.013621
8 Round 5: 0.013184
8 Round 6: 0.013676
8 Round 7: 0.013489
8 Round 8: 0.012930
8 Round 9: 0.014388
8 Round 10: 0.012806
6 Warmup Round: 0.065515
7 Round 1: 0.020162
6 Round 2: 0.019338
7 Round 3: 0.019714
7 Round 4: 0.019357
7 Round 5: 0.018415
7 Round 6: 0.019360
6 Round 7: 0.017233
7 Round 8: 0.019111
7 Round 9: 0.022658
8 Round 10: 0.021657
Average time: 0.015994	0.019701

source 17: 306694    
8 Warmup Round: 0.012755
8 Round 1: 0.011854
8 Round 2: 0.011863
8 Round 3: 0.011581
8 Round 4: 0.012383
8 Round 5: 0.012023
8 Round 6: 0.011933
8 Round 7: 0.011093
8 Round 8: 0.011512
8 Round 9: 0.011043
8 Round 10: 0.011928
7 Warmup Round: 0.018313
6 Round 1: 0.018500
6 Round 2: 0.017308
9 Round 3: 0.019125
6 Round 4: 0.019130
6 Round 5: 0.019177
6 Round 6: 0.018035
6 Round 7: 0.018635
6 Round 8: 0.019426
6 Round 9: 0.017977
10 Round 10: 0.020689
Average time: 0.011721	0.018800

source 18: 557440    
8 Warmup Round: 0.030569
8 Round 1: 0.018297
8 Round 2: 0.017799
8 Round 3: 0.018325
8 Round 4: 0.015828
8 Round 5: 0.016977
8 Round 6: 0.015573
8 Round 7: 0.011640
8 Round 8: 0.015097
8 Round 9: 0.014225
8 Round 10: 0.014521
6 Warmup Round: 0.025381
7 Round 1: 0.023779
5 Round 2: 0.022260
5 Round 3: 0.021649
6 Round 4: 0.023272
5 Round 5: 0.022867
5 Round 6: 0.021810
7 Round 7: 0.022186
5 Round 8: 0.026662
7 Round 9: 0.023595
5 Round 10: 0.021564
Average time: 0.015828	0.022964

source 19: 704675    
8 Warmup Round: 0.018494
8 Round 1: 0.014138
8 Round 2: 0.013025
8 Round 3: 0.013741
8 Round 4: 0.013792
8 Round 5: 0.013808
8 Round 6: 0.014342
8 Round 7: 0.013766
8 Round 8: 0.012966
8 Round 9: 0.014735
8 Round 10: 0.014980
7 Warmup Round: 0.024895
5 Round 1: 0.017003
6 Round 2: 0.016718
8 Round 3: 0.016380
7 Round 4: 0.017327
6 Round 5: 0.018942
6 Round 6: 0.020022
7 Round 7: 0.017454
6 Round 8: 0.016847
6 Round 9: 0.014789
6 Round 10: 0.015187
Average time: 0.013929	0.017067

source 20: 208553    
9 Warmup Round: 0.015404
9 Round 1: 0.015133
9 Round 2: 0.013682
9 Round 3: 0.013740
9 Round 4: 0.014541
9 Round 5: 0.014554
9 Round 6: 0.014132
9 Round 7: 0.013975
9 Round 8: 0.014744
9 Round 9: 0.014524
9 Round 10: 0.015829
8 Warmup Round: 0.024284
7 Round 1: 0.026622
7 Round 2: 0.023735
8 Round 3: 0.024821
7 Round 4: 0.024968
6 Round 5: 0.024393
9 Round 6: 0.023689
8 Round 7: 0.024042
8 Round 8: 0.024698
6 Round 9: 0.021917
7 Round 10: 0.023975
Average time: 0.014485	0.024286

source 21: 89119     
8 Warmup Round: 0.013997
8 Round 1: 0.012856
9 Round 2: 0.012228
8 Round 3: 0.012948
8 Round 4: 0.014518
8 Round 5: 0.015014
8 Round 6: 0.013509
8 Round 7: 0.015232
