Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/web-Google_sym.bin: |V|=875713, |E|=8644102, param=4194304, num_src=25, num_round=10
source 0: 739296    
8 Warmup Round: 0.019840
8 Round 1: 0.014162
8 Round 2: 0.012448
8 Round 3: 0.012849
8 Round 4: 0.012993
8 Round 5: 0.013582
8 Round 6: 0.013088
8 Round 7: 0.012725
8 Round 8: 0.013928
8 Round 9: 0.014081
8 Round 10: 0.011736
5 Warmup Round: 0.015824
6 Round 1: 0.011806
5 Round 2: 0.011687
5 Round 3: 0.011229
5 Round 4: 0.012326
5 Round 5: 0.012424
6 Round 6: 0.011183
5 Round 7: 0.011495
5 Round 8: 0.012649
5 Round 9: 0.012885
6 Round 10: 0.011501
Average time: 0.013159	0.011919

source 1: 498356    
8 Warmup Round: 0.013111
8 Round 1: 0.012406
9 Round 2: 0.011865
8 Round 3: 0.013659
8 Round 4: 0.012800
8 Round 5: 0.013327
8 Round 6: 0.012924
8 Round 7: 0.013164
8 Round 8: 0.012075
8 Round 9: 0.012229
8 Round 10: 0.019834
5 Warmup Round: 0.013728
6 Round 1: 0.012567
5 Round 2: 0.010235
7 Round 3: 0.011919
5 Round 4: 0.011653
5 Round 5: 0.014762
6 Round 6: 0.010943
5 Round 7: 0.012859
5 Round 8: 0.012645
5 Round 9: 0.010671
5 Round 10: 0.015717
Average time: 0.013428	0.012397

source 2: 480923    
8 Warmup Round: 0.014608
8 Round 1: 0.015146
8 Round 2: 0.017643
8 Round 3: 0.016216
8 Round 4: 0.016889
8 Round 5: 0.014041
8 Round 6: 0.016196
8 Round 7: 0.017493
8 Round 8: 0.015162
8 Round 9: 0.014784
8 Round 10: 0.015237
7 Warmup Round: 0.014880
8 Round 1: 0.019173
6 Round 2: 0.015096
7 Round 3: 0.014189
5 Round 4: 0.014669
6 Round 5: 0.015062
6 Round 6: 0.013383
6 Round 7: 0.013357
7 Round 8: 0.016593
6 Round 9: 0.022338
6 Round 10: 0.012969
Average time: 0.015881	0.015683

source 3: 653291    
9 Warmup Round: 0.013515
9 Round 1: 0.012544
9 Round 2: 0.014045
9 Round 3: 0.016343
9 Round 4: 0.014986
9 Round 5: 0.019281
8 Round 6: 0.016387
9 Round 7: 0.014215
9 Round 8: 0.012866
9 Round 9: 0.013264
9 Round 10: 0.015442
6 Warmup Round: 0.013625
6 Round 1: 0.013222
6 Round 2: 0.012645
7 Round 3: 0.013389
8 Round 4: 0.013384
6 Round 5: 0.011941
6 Round 6: 0.012635
6 Round 7: 0.012437
8 Round 8: 0.014207
6 Round 9: 0.011418
6 Round 10: 0.013347
Average time: 0.014937	0.012863

source 4: 578021    
8 Warmup Round: 0.012458
8 Round 1: 0.013643
8 Round 2: 0.012804
8 Round 3: 0.013118
8 Round 4: 0.013324
8 Round 5: 0.012987
8 Round 6: 0.012454
8 Round 7: 0.013230
8 Round 8: 0.011285
8 Round 9: 0.011985
8 Round 10: 0.012645
6 Warmup Round: 0.013330
6 Round 1: 0.010507
6 Round 2: 0.011425
6 Round 3: 0.012257
5 Round 4: 0.013182
6 Round 5: 0.011118
6 Round 6: 0.010750
6 Round 7: 0.010818
6 Round 8: 0.011353
6 Round 9: 0.010395
6 Round 10: 0.010513
Average time: 0.012748	0.011232

source 5: 261897    
9 Warmup Round: 0.013347
8 Round 1: 0.014502
8 Round 2: 0.012202
8 Round 3: 0.013968
8 Round 4: 0.013884
7 Round 5: 0.013117
8 Round 6: 0.013168
7 Round 7: 0.013647
8 Round 8: 0.012399
8 Round 9: 0.012883
7 Round 10: 0.013437
7 Warmup Round: 0.010310
5 Round 1: 0.009870
6 Round 2: 0.010233
5 Round 3: 0.010196
6 Round 4: 0.009366
6 Round 5: 0.010342
6 Round 6: 0.009709
7 Round 7: 0.009375
7 Round 8: 0.011274
6 Round 9: 0.009758
6 Round 10: 0.009457
Average time: 0.013321	0.009958

source 6: 638539    
9 Warmup Round: 0.014389
9 Round 1: 0.013810
9 Round 2: 0.026191
9 Round 3: 0.014475
9 Round 4: 0.014306
9 Round 5: 0.015202
9 Round 6: 0.013885
9 Round 7: 0.014254
9 Round 8: 0.013925
9 Round 9: 0.013957
9 Round 10: 0.012335
6 Warmup Round: 0.013560
9 Round 1: 0.012862
8 Round 2: 0.013586
6 Round 3: 0.011927
7 Round 4: 0.013336
7 Round 5: 0.011819
7 Round 6: 0.011577
7 Round 7: 0.020562
7 Round 8: 0.013377
7 Round 9: 0.012948
6 Round 10: 0.012249
Average time: 0.015234	0.013424

source 7: 839330    
8 Warmup Round: 0.014330
8 Round 1: 0.013767
8 Round 2: 0.015706
8 Round 3: 0.015231
