Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/web-Google_sym.bin: |V|=875713, |E|=8644102, param=262144, num_src=25, num_round=10
source 0: 739296    
6 Warmup Round: 0.019123
6 Round 1: 0.013348
6 Round 2: 0.012330
6 Round 3: 0.023015
6 Round 4: 0.022831
6 Round 5: 0.021267
6 Round 6: 0.013623
6 Round 7: 0.011899
6 Round 8: 0.012166
6 Round 9: 0.013640
6 Round 10: 0.012238
5 Warmup Round: 0.023511
5 Round 1: 0.017546
5 Round 2: 0.018138
5 Round 3: 0.017643
6 Round 4: 0.018229
6 Round 5: 0.017964
6 Round 6: 0.018871
5 Round 7: 0.017544
5 Round 8: 0.017602
6 Round 9: 0.017991
5 Round 10: 0.018796
Average time: 0.015636	0.018032

source 1: 498356    
6 Warmup Round: 0.013504
6 Round 1: 0.012643
5 Round 2: 0.013546
5 Round 3: 0.013643
5 Round 4: 0.013270
5 Round 5: 0.013476
6 Round 6: 0.012308
6 Round 7: 0.014535
6 Round 8: 0.013553
6 Round 9: 0.013929
6 Round 10: 0.011886
5 Warmup Round: 0.015908
5 Round 1: 0.026362
5 Round 2: 0.014915
5 Round 3: 0.015215
5 Round 4: 0.015042
5 Round 5: 0.016135
5 Round 6: 0.014483
5 Round 7: 0.014590
5 Round 8: 0.014859
5 Round 9: 0.015672
5 Round 10: 0.014037
Average time: 0.013279	0.016131

source 2: 480923    
8 Warmup Round: 0.012132
5 Round 1: 0.014645
5 Round 2: 0.014857
5 Round 3: 0.016621
5 Round 4: 0.014574
5 Round 5: 0.015261
5 Round 6: 0.016681
5 Round 7: 0.014295
6 Round 8: 0.015338
6 Round 9: 0.011887
5 Round 10: 0.015227
5 Warmup Round: 0.014361
6 Round 1: 0.017406
6 Round 2: 0.018994
6 Round 3: 0.017305
6 Round 4: 0.018557
6 Round 5: 0.015474
5 Round 6: 0.015677
5 Round 7: 0.016463
6 Round 8: 0.016015
6 Round 9: 0.016017
6 Round 10: 0.017272
Average time: 0.014939	0.016918

source 3: 653291    
6 Warmup Round: 0.012271
6 Round 1: 0.012578
6 Round 2: 0.012510
6 Round 3: 0.011972
5 Round 4: 0.013594
6 Round 5: 0.011275
6 Round 6: 0.012735
6 Round 7: 0.011867
6 Round 8: 0.010979
6 Round 9: 0.010743
6 Round 10: 0.011736
5 Warmup Round: 0.016142
6 Round 1: 0.014341
6 Round 2: 0.013878
6 Round 3: 0.016034
6 Round 4: 0.014330
6 Round 5: 0.018134
6 Round 6: 0.013890
6 Round 7: 0.016051
6 Round 8: 0.016066
6 Round 9: 0.014751
6 Round 10: 0.013917
Average time: 0.011999	0.015139

source 4: 578021    
7 Warmup Round: 0.013654
7 Round 1: 0.012560
7 Round 2: 0.012899
7 Round 3: 0.014348
7 Round 4: 0.014175
7 Round 5: 0.012791
7 Round 6: 0.013677
7 Round 7: 0.013833
7 Round 8: 0.013678
7 Round 9: 0.014704
7 Round 10: 0.014922
6 Warmup Round: 0.017414
6 Round 1: 0.018013
6 Round 2: 0.016933
5 Round 3: 0.014159
6 Round 4: 0.017986
6 Round 5: 0.016455
6 Round 6: 0.016739
6 Round 7: 0.015123
6 Round 8: 0.016887
6 Round 9: 0.025181
5 Round 10: 0.026480
Average time: 0.013759	0.018396

source 5: 261897    
6 Warmup Round: 0.015298
6 Round 1: 0.015754
6 Round 2: 0.012643
6 Round 3: 0.014179
6 Round 4: 0.014615
5 Round 5: 0.014216
5 Round 6: 0.012764
6 Round 7: 0.012009
6 Round 8: 0.013703
6 Round 9: 0.013538
6 Round 10: 0.013281
5 Warmup Round: 0.014069
5 Round 1: 0.012773
7 Round 2: 0.012995
5 Round 3: 0.013221
5 Round 4: 0.013084
6 Round 5: 0.012521
5 Round 6: 0.013870
6 Round 7: 0.012456
5 Round 8: 0.014123
5 Round 9: 0.012138
5 Round 10: 0.013470
Average time: 0.013670	0.013065

source 6: 638539    
8 Warmup Round: 0.016239
8 Round 1: 0.014823
8 Round 2: 0.015150
8 Round 3: 0.015499
8 Round 4: 0.014578
8 Round 5: 0.015094
8 Round 6: 0.013832
8 Round 7: 0.014190
8 Round 8: 0.020039
8 Round 9: 0.014507
8 Round 10: 0.013496
7 Warmup Round: 0.019582
7 Round 1: 0.017602
7 Round 2: 0.017086
7 Round 3: 0.018163
7 Round 4: 0.017711
7 Round 5: 0.018766
7 Round 6: 0.016452
7 Round 7: 0.016962
7 Round 8: 0.017363
7 Round 9: 0.017518
7 Round 10: 0.017173
Average time: 0.015121	0.017480

source 7: 839330    
6 Warmup Round: 0.012768
6 Round 1: 0.012170
6 Round 2: 0.011354
6 Round 3: 0.011099
6 Round 4: 0.011391
6 Round 5: 0.011275
6 Round 6: 0.011438
6 Round 7: 0.011575
6 Round 8: 0.010890
6 Round 9: 0.011347
6 Round 10: 0.011512
5 Warmup Round: 0.015769
6 Round 1: 0.015342
6 Round 2: 0.015702
6 Round 3: 0.015823
6 Round 4: 0.016391
6 Round 5: 0.015997
6 Round 6: 0.015952
6 Round 7: 0.016680
6 Round 8: 0.015916
6 Round 9: 0.015887
6 Round 10: 0.015562
Average time: 0.011405	0.015925

source 8: 87689     
7 Warmup Round: 0.014032
7 Round 1: 0.016498
7 Round 2: 0.016767
7 Round 3: 0.015016
7 Round 4: 0.013106
7 Round 5: 0.017258
7 Round 6: 0.013080
7 Round 7: 0.016326
7 Round 8: 0.018470
7 Round 9: 0.015457
7 Round 10: 0.015649
8 Warmup Round: 0.016871
8 Round 1: 0.017886
8 Round 2: 0.017316
8 Round 3: 0.019578
8 Round 4: 0.015247
8 Round 5: 0.016345
8 Round 6: 0.018259
8 Round 7: 0.017071
8 Round 8: 0.016411
8 Round 9: 0.016410
8 Round 10: 0.015397
Average time: 0.015763	0.016992

source 9: 504552    
7 Warmup Round: 0.014713
7 Round 1: 0.013034
7 Round 2: 0.013038
7 Round 3: 0.015359
7 Round 4: 0.013951
7 Round 5: 0.015197
7 Round 6: 0.012888
7 Round 7: 0.013389
7 Round 8: 0.014564
7 Round 9: 0.012846
7 Round 10: 0.012376
7 Warmup Round: 0.016617
7 Round 1: 0.015240
7 Round 2: 0.016122
7 Round 3: 0.015997
7 Round 4: 0.015322
7 Round 5: 0.017167
7 Round 6: 0.017782
7 Round 7: 0.017229
7 Round 8: 0.014542
7 Round 9: 0.015990
7 Round 10: 0.014882
Average time: 0.013664	0.016027

source 10: 765409    
8 Warmup Round: 0.014850
8 Round 1: 0.013164
