Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/web-Google_sym.bin: |V|=875713, |E|=8644102, param=8388608, num_src=25, num_round=10
5 Round 9: 0.011359
5 Round 10: 0.009510
Average time: 0.014506	0.011006

source 10: 765409    
5 Warmup Round: 0.016465
6 Round 1: 0.016818
6 Round 2: 0.014813
6 Round 3: 0.014324
6 Round 4: 0.015414
5 Round 5: 0.012848
6 Round 6: 0.013566
7 Round 7: 0.019308
6 Round 8: 0.013920
5 Round 9: 0.015217
4 Round 10: 0.013616
6 Warmup Round: 0.018061
5 Round 1: 0.013162
5 Round 2: 0.014106
6 Round 3: 0.017474
6 Round 4: 0.012357
7 Round 5: 0.015790
6 Round 6: 0.017008
5 Round 7: 0.013758
6 Round 8: 0.011543
4 Round 9: 0.011404
5 Round 10: 0.010988
Average time: 0.014984	0.013759

source 11: 54163     
6 Warmup Round: 0.016805
6 Round 1: 0.015906
5 Round 2: 0.014002
5 Round 3: 0.015076
7 Round 4: 0.018196
4 Round 5: 0.013219
5 Round 6: 0.014648
7 Round 7: 0.017121
4 Round 8: 0.012515
4 Round 9: 0.012721
4 Round 10: 0.013678
4 Warmup Round: 0.011712
4 Round 1: 0.010593
4 Round 2: 0.009724
5 Round 3: 0.011263
4 Round 4: 0.009538
5 Round 5: 0.010764
5 Round 6: 0.011554
5 Round 7: 0.010759
6 Round 8: 0.013343
5 Round 9: 0.011572
8 Round 10: 0.013274
Average time: 0.014708	0.011238

source 12: 177735    
5 Warmup Round: 0.016540
4 Round 1: 0.013760
4 Round 2: 0.014311
5 Round 3: 0.015558
4 Round 4: 0.013199
4 Round 5: 0.013334
5 Round 6: 0.014268
4 Round 7: 0.013949
5 Round 8: 0.014172
5 Round 9: 0.013930
4 Round 10: 0.013063
4 Warmup Round: 0.011533
4 Round 1: 0.013017
4 Round 2: 0.012476
4 Round 3: 0.013268
4 Round 4: 0.012790
4 Round 5: 0.012270
