delta
step	origin_time	contract_time
65536	2.6725475600000004	2.6629408
131072	1.4945243199999998	1.5133292800000004
262144	0.93270892	0.97219288
524288	0.7127063200000001	0.7437924800000001
1048576	0.6140313599999999	0.6534432
2097152	0.5432043200000001	0.6330774400000001
4194304	0.61431104	0.8332133200000001
rho
step	origin_time	contract_time
65536	1.0647984799999997	0.9081259999999999
131072	1.16795452	0.8358920000000001
262144	1.065072	0.7595294800000001
524288	1.12137628	0.8122063599999998
1048576	1.0330084399999997	0.77692408
2097152	1.06813944	0.79193288
4194304	1.0869757999999998	0.7955461999999998
