Reading graph...
Info: Reading pbbs format
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/ezhu021/graph/RoadUSA_sym_wgh.adj: |V|=23947348, |E|=57708624, param=524288, num_src=1, num_round=1
source 0: 4278411   
frontier_size: 1 	 relax: 0.000818 	 pack: 0.000643
frontier_size: 394 	 relax: 0.000341 	 pack: 0.000001
frontier_size: 1561 	 relax: 0.001435 	 pack: 0.000001
frontier_size: 5105 	 relax: 0.001383 	 pack: 0.000001
frontier_size: 9883 	 relax: 0.001446 	 pack: 0.000001
frontier_size: 18314 	 relax: 0.002053 	 pack: 0.000001
frontier_size: 17045 	 relax: 0.002010 	 pack: 0.000001
frontier_size: 26635 	 relax: 0.001930 	 pack: 0.000002
frontier_size: 35200 	 relax: 0.002175 	 pack: 0.000003
frontier_size: 40612 	 relax: 0.003319 	 pack: 0.000002
frontier_size: 40150 	 relax: 0.002504 	 pack: 0.000002
frontier_size: 36103 	 relax: 0.002214 	 pack: 0.000001
frontier_size: 33223 	 relax: 0.002179 	 pack: 0.000001
frontier_size: 37796 	 relax: 0.002397 	 pack: 0.000002
frontier_size: 45664 	 relax: 0.002490 	 pack: 0.000001
frontier_size: 44569 	 relax: 0.004206 	 pack: 0.000002
frontier_size: 48842 	 relax: 0.002923 	 pack: 0.000001
frontier_size: 67016 	 relax: 0.003308 	 pack: 0.000001
frontier_size: 65870 	 relax: 0.003065 	 pack: 0.000001
frontier_size: 63734 	 relax: 0.003071 	 pack: 0.000001
frontier_size: 78375 	 relax: 0.003433 	 pack: 0.000002
frontier_size: 69252 	 relax: 0.003271 	 pack: 0.000002
frontier_size: 60996 	 relax: 0.005852 	 pack: 0.000003
frontier_size: 67776 	 relax: 0.003602 	 pack: 0.000002
frontier_size: 78158 	 relax: 0.003712 	 pack: 0.000001
frontier_size: 78999 	 relax: 0.003819 	 pack: 0.000001
frontier_size: 86869 	 relax: 0.004246 	 pack: 0.000001
frontier_size: 74019 	 relax: 0.003547 	 pack: 0.000001
frontier_size: 76551 	 relax: 0.003487 	 pack: 0.000001
frontier_size: 64727 	 relax: 0.003675 	 pack: 0.000002
frontier_size: 50554 	 relax: 0.002576 	 pack: 0.000001
frontier_size: 43291 	 relax: 0.002405 	 pack: 0.000001
frontier_size: 37469 	 relax: 0.002181 	 pack: 0.000001
frontier_size: 36606 	 relax: 0.002145 	 pack: 0.000001
frontier_size: 36061 	 relax: 0.002243 	 pack: 0.000002
frontier_size: 37396 	 relax: 0.002643 	 pack: 0.000002
frontier_size: 46194 	 relax: 0.002330 	 pack: 0.000001
