Reading graph...
Info: Reading pbbs format
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/ezhu021/graph/RoadUSA_sym_wgh.adj: |V|=23947348, |E|=57708624, param=524288, num_src=1, num_round=1
source 0: 4278411   
frontier_size: 1 	 relax: 0.000815 	 pack: 0.000649
frontier_size: 394 	 relax: 0.000339 	 pack: 0.000001
frontier_size: 1820 	 relax: 0.001367 	 pack: 0.000001
frontier_size: 4925 	 relax: 0.001574 	 pack: 0.000001
frontier_size: 8751 	 relax: 0.001628 	 pack: 0.000001
frontier_size: 15365 	 relax: 0.001898 	 pack: 0.000001
frontier_size: 17074 	 relax: 0.002198 	 pack: 0.000001
frontier_size: 24294 	 relax: 0.002280 	 pack: 0.000001
frontier_size: 32612 	 relax: 0.002544 	 pack: 0.000001
frontier_size: 34451 	 relax: 0.002813 	 pack: 0.000001
frontier_size: 38193 	 relax: 0.003144 	 pack: 0.000001
frontier_size: 30981 	 relax: 0.002768 	 pack: 0.000001
frontier_size: 33848 	 relax: 0.002221 	 pack: 0.000002
frontier_size: 46250 	 relax: 0.002670 	 pack: 0.000002
frontier_size: 43127 	 relax: 0.003110 	 pack: 0.000001
frontier_size: 56036 	 relax: 0.003673 	 pack: 0.000001
frontier_size: 62584 	 relax: 0.003427 	 pack: 0.000001
frontier_size: 59914 	 relax: 0.002781 	 pack: 0.000002
frontier_size: 67541 	 relax: 0.006266 	 pack: 0.000002
frontier_size: 61543 	 relax: 0.003109 	 pack: 0.000001
frontier_size: 65429 	 relax: 0.003636 	 pack: 0.000002
frontier_size: 67053 	 relax: 0.003600 	 pack: 0.000001
frontier_size: 81493 	 relax: 0.004290 	 pack: 0.000001
frontier_size: 84736 	 relax: 0.004338 	 pack: 0.000001
frontier_size: 83329 	 relax: 0.003815 	 pack: 0.000001
frontier_size: 74201 	 relax: 0.003229 	 pack: 0.000001
frontier_size: 67533 	 relax: 0.003490 	 pack: 0.000002
frontier_size: 71679 	 relax: 0.003189 	 pack: 0.000001
frontier_size: 68268 	 relax: 0.003428 	 pack: 0.000003
frontier_size: 56744 	 relax: 0.002764 	 pack: 0.000001
frontier_size: 52057 	 relax: 0.002693 	 pack: 0.000001
frontier_size: 52036 	 relax: 0.002990 	 pack: 0.000001
frontier_size: 47712 	 relax: 0.002559 	 pack: 0.000001
frontier_size: 44345 	 relax: 0.002473 	 pack: 0.000001
frontier_size: 38031 	 relax: 0.003046 	 pack: 0.000001
frontier_size: 33059 	 relax: 0.002096 	 pack: 0.000001
frontier_size: 45779 	 relax: 0.002571 	 pack: 0.000001
frontier_size: 49105 	 relax: 0.002662 	 pack: 0.000001
frontier_size: 35935 	 relax: 0.002381 	 pack: 0.000002
frontier_size: 22521 	 relax: 0.002056 	 pack: 0.000001
frontier_size: 18160 	 relax: 0.002482 	 pack: 0.000002
frontier_size: 26244 	 relax: 0.001904 	 pack: 0.000001
frontier_size: 28620 	 relax: 0.002283 	 pack: 0.000001
frontier_size: 30387 	 relax: 0.002336 	 pack: 0.000001
frontier_size: 26369 	 relax: 0.002037 	 pack: 0.000001
frontier_size: 26393 	 relax: 0.001964 	 pack: 0.000001
frontier_size: 28104 	 relax: 0.002224 	 pack: 0.000002
frontier_size: 36467 	 relax: 0.002581 	 pack: 0.000001
frontier_size: 45679 	 relax: 0.002959 	 pack: 0.000002
frontier_size: 56321 	 relax: 0.002968 	 pack: 0.000001
frontier_size: 72683 	 relax: 0.003264 	 pack: 0.000001
