Reading graph...
Info: Reading pbbs format
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/ezhu021/graph/RoadUSA_sym_wgh.adj: |V|=23947348, |E|=57708624, param=524288, num_src=1, num_round=1
source 0: 4278411   
frontier_size: 1 	 relax: 0.000795 	 pack: 0.000726
frontier_size: 394 	 relax: 0.000322 	 pack: 0.000001
frontier_size: 1682 	 relax: 0.001193 	 pack: 0.000001
frontier_size: 5932 	 relax: 0.002072 	 pack: 0.000001
frontier_size: 8757 	 relax: 0.002037 	 pack: 0.000001
frontier_size: 13770 	 relax: 0.001810 	 pack: 0.000001
frontier_size: 15006 	 relax: 0.001974 	 pack: 0.000001
frontier_size: 21509 	 relax: 0.002194 	 pack: 0.000001
frontier_size: 26550 	 relax: 0.002129 	 pack: 0.000001
frontier_size: 36379 	 relax: 0.002467 	 pack: 0.000001
frontier_size: 30740 	 relax: 0.002320 	 pack: 0.000001
frontier_size: 32748 	 relax: 0.002009 	 pack: 0.000001
frontier_size: 30334 	 relax: 0.002097 	 pack: 0.000001
frontier_size: 30546 	 relax: 0.001878 	 pack: 0.000002
frontier_size: 36460 	 relax: 0.002434 	 pack: 0.000002
frontier_size: 47048 	 relax: 0.002495 	 pack: 0.000001
frontier_size: 52425 	 relax: 0.002745 	 pack: 0.000001
frontier_size: 67186 	 relax: 0.003567 	 pack: 0.000002
frontier_size: 69604 	 relax: 0.003188 	 pack: 0.000001
frontier_size: 63605 	 relax: 0.002963 	 pack: 0.000002
frontier_size: 71567 	 relax: 0.003656 	 pack: 0.000001
frontier_size: 63585 	 relax: 0.002996 	 pack: 0.000001
frontier_size: 63193 	 relax: 0.002861 	 pack: 0.000001
frontier_size: 82946 	 relax: 0.003945 	 pack: 0.000001
frontier_size: 90538 	 relax: 0.006718 	 pack: 0.000003
frontier_size: 78854 	 relax: 0.003313 	 pack: 0.000001
frontier_size: 75618 	 relax: 0.003493 	 pack: 0.000001
frontier_size: 69258 	 relax: 0.003170 	 pack: 0.000002
frontier_size: 67632 	 relax: 0.003051 	 pack: 0.000001
frontier_size: 61342 	 relax: 0.002996 	 pack: 0.000001
frontier_size: 50873 	 relax: 0.002598 	 pack: 0.000001
frontier_size: 50196 	 relax: 0.002490 	 pack: 0.000001
frontier_size: 42789 	 relax: 0.002397 	 pack: 0.000001
frontier_size: 39849 	 relax: 0.002042 	 pack: 0.000001
frontier_size: 38651 	 relax: 0.002163 	 pack: 0.000001
frontier_size: 34013 	 relax: 0.001994 	 pack: 0.000001
frontier_size: 35026 	 relax: 0.002078 	 pack: 0.000001
frontier_size: 45404 	 relax: 0.002786 	 pack: 0.000002
frontier_size: 41716 	 relax: 0.002441 	 pack: 0.000001
frontier_size: 29267 	 relax: 0.002349 	 pack: 0.000001
frontier_size: 25185 	 relax: 0.002031 	 pack: 0.000001
frontier_size: 27607 	 relax: 0.001955 	 pack: 0.000001
