Reading graph...
Info: Reading pbbs format
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/ezhu021/graph/RoadUSA_sym_wgh.adj: |V|=23947348, |E|=57708624, param=524288, num_src=1, num_round=1
source 0: 4278411   
frontier_size: 1 	 relax: 0.000874 	 pack: 0.002293
frontier_size: 394 	 relax: 0.000334 	 pack: 0.000001
frontier_size: 1159 	 relax: 0.001326 	 pack: 0.000001
frontier_size: 4254 	 relax: 0.001326 	 pack: 0.000001
frontier_size: 8906 	 relax: 0.001494 	 pack: 0.000002
frontier_size: 18046 	 relax: 0.002943 	 pack: 0.000001
frontier_size: 24373 	 relax: 0.002505 	 pack: 0.000002
frontier_size: 30249 	 relax: 0.002173 	 pack: 0.000001
frontier_size: 35598 	 relax: 0.002266 	 pack: 0.000001
frontier_size: 34747 	 relax: 0.002452 	 pack: 0.000002
frontier_size: 35090 	 relax: 0.002172 	 pack: 0.000002
frontier_size: 35804 	 relax: 0.003222 	 pack: 0.000003
frontier_size: 32437 	 relax: 0.002799 	 pack: 0.000001
frontier_size: 37396 	 relax: 0.002517 	 pack: 0.000002
frontier_size: 41695 	 relax: 0.002683 	 pack: 0.000001
frontier_size: 52011 	 relax: 0.002955 	 pack: 0.000001
frontier_size: 66802 	 relax: 0.005065 	 pack: 0.000002
frontier_size: 90863 	 relax: 0.004434 	 pack: 0.000001
frontier_size: 97875 	 relax: 0.004330 	 pack: 0.000001
frontier_size: 80284 	 relax: 0.004247 	 pack: 0.000001
frontier_size: 72776 	 relax: 0.003612 	 pack: 0.000001
frontier_size: 69586 	 relax: 0.003365 	 pack: 0.000001
frontier_size: 63528 	 relax: 0.003032 	 pack: 0.000001
frontier_size: 73624 	 relax: 0.004027 	 pack: 0.000002
frontier_size: 80125 	 relax: 0.003763 	 pack: 0.000001
frontier_size: 79588 	 relax: 0.003704 	 pack: 0.000001
frontier_size: 81437 	 relax: 0.003584 	 pack: 0.000001
frontier_size: 91786 	 relax: 0.005708 	 pack: 0.000004
frontier_size: 89060 	 relax: 0.004303 	 pack: 0.000001
frontier_size: 75545 	 relax: 0.003536 	 pack: 0.000001
frontier_size: 57116 	 relax: 0.002830 	 pack: 0.000001
frontier_size: 48410 	 relax: 0.003122 	 pack: 0.000002
frontier_size: 38793 	 relax: 0.002422 	 pack: 0.000001
frontier_size: 34657 	 relax: 0.002099 	 pack: 0.000001
frontier_size: 38398 	 relax: 0.002368 	 pack: 0.000001
frontier_size: 37044 	 relax: 0.002328 	 pack: 0.000001
frontier_size: 43452 	 relax: 0.002389 	 pack: 0.000001
frontier_size: 53364 	 relax: 0.003040 	 pack: 0.000001
frontier_size: 39568 	 relax: 0.002470 	 pack: 0.000001
frontier_size: 32802 	 relax: 0.002302 	 pack: 0.000001
frontier_size: 30595 	 relax: 0.002308 	 pack: 0.000001
frontier_size: 29047 	 relax: 0.002340 	 pack: 0.000001
frontier_size: 29648 	 relax: 0.002189 	 pack: 0.000001
frontier_size: 29005 	 relax: 0.002651 	 pack: 0.000001
frontier_size: 31360 	 relax: 0.002248 	 pack: 0.000001
frontier_size: 32457 	 relax: 0.002502 	 pack: 0.000001
frontier_size: 36607 	 relax: 0.002244 	 pack: 0.000001
frontier_size: 48391 	 relax: 0.002666 	 pack: 0.000001
frontier_size: 52692 	 relax: 0.003238 	 pack: 0.000001
frontier_size: 67339 	 relax: 0.003614 	 pack: 0.000001
frontier_size: 83697 	 relax: 0.003478 	 pack: 0.000001
frontier_size: 79723 	 relax: 0.003392 	 pack: 0.000001
frontier_size: 90688 	 relax: 0.004086 	 pack: 0.000002
frontier_size: 123909 	 relax: 0.003875 	 pack: 0.000001
frontier_size: 141968 	 relax: 0.004561 	 pack: 0.000002
frontier_size: 151391 	 relax: 0.006388 	 pack: 0.000003
frontier_size: 136405 	 relax: 0.004797 	 pack: 0.000002
frontier_size: 142873 	 relax: 0.004807 	 pack: 0.000002
frontier_size: 135134 	 relax: 0.006228 	 pack: 0.000004
frontier_size: 128833 	 relax: 0.004547 	 pack: 0.000002
