Reading graph...
Info: Reading pbbs format
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/ezhu021/graph/RoadUSA_sym_wgh.adj: |V|=23947348, |E|=57708624, param=524288, num_src=1, num_round=1
source 0: 4278411   
frontier_size: 1 	 relax: 0.000804 	 pack: 0.000667
frontier_size: 394 	 relax: 0.000323 	 pack: 0.000001
frontier_size: 1774 	 relax: 0.001207 	 pack: 0.000001
frontier_size: 3775 	 relax: 0.001599 	 pack: 0.000001
frontier_size: 8052 	 relax: 0.003261 	 pack: 0.000005
frontier_size: 16528 	 relax: 0.002201 	 pack: 0.000003
frontier_size: 18004 	 relax: 0.002406 	 pack: 0.000001
frontier_size: 26581 	 relax: 0.002425 	 pack: 0.000002
frontier_size: 33100 	 relax: 0.002462 	 pack: 0.000001
frontier_size: 31154 	 relax: 0.004901 	 pack: 0.000011
frontier_size: 30492 	 relax: 0.002915 	 pack: 0.000002
frontier_size: 29706 	 relax: 0.002276 	 pack: 0.000001
frontier_size: 28665 	 relax: 0.002493 	 pack: 0.000001
frontier_size: 27896 	 relax: 0.002298 	 pack: 0.000002
frontier_size: 40003 	 relax: 0.003659 	 pack: 0.000002
frontier_size: 44739 	 relax: 0.002841 	 pack: 0.000002
frontier_size: 47957 	 relax: 0.002702 	 pack: 0.000001
frontier_size: 56367 	 relax: 0.003760 	 pack: 0.000001
frontier_size: 62776 	 relax: 0.003191 	 pack: 0.000002
frontier_size: 52379 	 relax: 0.002948 	 pack: 0.000001
frontier_size: 65121 	 relax: 0.003309 	 pack: 0.000001
frontier_size: 64238 	 relax: 0.003240 	 pack: 0.000002
frontier_size: 66242 	 relax: 0.003274 	 pack: 0.000002
frontier_size: 73609 	 relax: 0.003662 	 pack: 0.000001
frontier_size: 70864 	 relax: 0.004051 	 pack: 0.000002
frontier_size: 62697 	 relax: 0.003365 	 pack: 0.000001
frontier_size: 81612 	 relax: 0.003825 	 pack: 0.000001
frontier_size: 77629 	 relax: 0.003549 	 pack: 0.000002
frontier_size: 72832 	 relax: 0.003735 	 pack: 0.000002
frontier_size: 65419 	 relax: 0.003614 	 pack: 0.000001
frontier_size: 57047 	 relax: 0.002807 	 pack: 0.000002
frontier_size: 45632 	 relax: 0.002598 	 pack: 0.000001
frontier_size: 35393 	 relax: 0.002178 	 pack: 0.000001
frontier_size: 30528 	 relax: 0.002011 	 pack: 0.000001
frontier_size: 27892 	 relax: 0.002094 	 pack: 0.000001
frontier_size: 27457 	 relax: 0.003012 	 pack: 0.000002
frontier_size: 40599 	 relax: 0.002170 	 pack: 0.000001
frontier_size: 46318 	 relax: 0.002604 	 pack: 0.000001
frontier_size: 31980 	 relax: 0.002144 	 pack: 0.000001
frontier_size: 21279 	 relax: 0.002301 	 pack: 0.000001
frontier_size: 15870 	 relax: 0.001706 	 pack: 0.000001
frontier_size: 22847 	 relax: 0.001906 	 pack: 0.000001
frontier_size: 23478 	 relax: 0.001960 	 pack: 0.000002
frontier_size: 26989 	 relax: 0.002047 	 pack: 0.000001
frontier_size: 22822 	 relax: 0.001931 	 pack: 0.000001
frontier_size: 22412 	 relax: 0.002029 	 pack: 0.000002
frontier_size: 26677 	 relax: 0.002114 	 pack: 0.000001
frontier_size: 34760 	 relax: 0.002543 	 pack: 0.000002
frontier_size: 43451 	 relax: 0.003340 	 pack: 0.000003
frontier_size: 58568 	 relax: 0.003050 	 pack: 0.000001
