Reading graph...
Info: Reading pbbs format
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/ezhu021/graph/RoadUSA_sym_wgh.adj: |V|=23947348, |E|=57708624, param=524288, num_src=1, num_round=1
source 0: 4278411   
frontier_size: 1 	 relax: 0.000807 	 pack: 0.000690
frontier_size: 394 	 relax: 0.000331 	 pack: 0.000001
frontier_size: 1384 	 relax: 0.001238 	 pack: 0.000001
frontier_size: 3886 	 relax: 0.001375 	 pack: 0.000001
frontier_size: 9849 	 relax: 0.001820 	 pack: 0.000001
frontier_size: 15505 	 relax: 0.001942 	 pack: 0.000001
frontier_size: 18185 	 relax: 0.002466 	 pack: 0.000001
frontier_size: 22446 	 relax: 0.002329 	 pack: 0.000001
frontier_size: 33028 	 relax: 0.002482 	 pack: 0.000001
frontier_size: 39863 	 relax: 0.006491 	 pack: 0.000003
frontier_size: 33486 	 relax: 0.002839 	 pack: 0.000002
frontier_size: 30916 	 relax: 0.002117 	 pack: 0.000001
frontier_size: 32371 	 relax: 0.002126 	 pack: 0.000001
frontier_size: 36498 	 relax: 0.002566 	 pack: 0.000001
frontier_size: 41785 	 relax: 0.002556 	 pack: 0.000001
frontier_size: 44068 	 relax: 0.002633 	 pack: 0.000001
frontier_size: 60013 	 relax: 0.003982 	 pack: 0.000001
frontier_size: 59508 	 relax: 0.003840 	 pack: 0.000002
frontier_size: 65289 	 relax: 0.003166 	 pack: 0.000002
frontier_size: 62499 	 relax: 0.003590 	 pack: 0.000002
frontier_size: 54907 	 relax: 0.003205 	 pack: 0.000002
frontier_size: 59154 	 relax: 0.002865 	 pack: 0.000002
frontier_size: 68785 	 relax: 0.003249 	 pack: 0.000001
frontier_size: 76392 	 relax: 0.003436 	 pack: 0.000002
frontier_size: 79265 	 relax: 0.003603 	 pack: 0.000002
frontier_size: 75598 	 relax: 0.003227 	 pack: 0.000002
frontier_size: 83637 	 relax: 0.003899 	 pack: 0.000002
frontier_size: 88268 	 relax: 0.003984 	 pack: 0.000002
frontier_size: 87604 	 relax: 0.004489 	 pack: 0.000003
frontier_size: 69466 	 relax: 0.003797 	 pack: 0.000002
frontier_size: 52130 	 relax: 0.002776 	 pack: 0.000002
frontier_size: 41945 	 relax: 0.002360 	 pack: 0.000002
frontier_size: 34992 	 relax: 0.002300 	 pack: 0.000002
frontier_size: 36009 	 relax: 0.002135 	 pack: 0.000002
frontier_size: 45004 	 relax: 0.003699 	 pack: 0.000002
