Reading graph...
Info: Reading pbbs format
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/ezhu021/graph/RoadUSA_sym_wgh.adj: |V|=23947348, |E|=57708624, param=524288, num_src=1, num_round=1
source 0: 4278411   
frontier_size: 1 	 relax: 0.000885 	 pack: 0.002634
frontier_size: 394 	 relax: 0.000335 	 pack: 0.000001
frontier_size: 1693 	 relax: 0.001252 	 pack: 0.000001
frontier_size: 5217 	 relax: 0.002089 	 pack: 0.000001
frontier_size: 9095 	 relax: 0.001421 	 pack: 0.000001
frontier_size: 15733 	 relax: 0.001800 	 pack: 0.000001
frontier_size: 16233 	 relax: 0.002074 	 pack: 0.000001
frontier_size: 22141 	 relax: 0.002125 	 pack: 0.000001
frontier_size: 28838 	 relax: 0.002045 	 pack: 0.000001
frontier_size: 36087 	 relax: 0.002604 	 pack: 0.000002
frontier_size: 31269 	 relax: 0.002779 	 pack: 0.000002
frontier_size: 37710 	 relax: 0.002448 	 pack: 0.000001
frontier_size: 34675 	 relax: 0.002650 	 pack: 0.000001
frontier_size: 38218 	 relax: 0.002359 	 pack: 0.000002
frontier_size: 45905 	 relax: 0.002961 	 pack: 0.000001
frontier_size: 54242 	 relax: 0.003004 	 pack: 0.000002
frontier_size: 61009 	 relax: 0.003861 	 pack: 0.000001
frontier_size: 73437 	 relax: 0.003622 	 pack: 0.000001
frontier_size: 67705 	 relax: 0.003203 	 pack: 0.000001
frontier_size: 69679 	 relax: 0.003151 	 pack: 0.000002
frontier_size: 83848 	 relax: 0.003978 	 pack: 0.000002
frontier_size: 70148 	 relax: 0.003730 	 pack: 0.000002
frontier_size: 74798 	 relax: 0.003248 	 pack: 0.000001
frontier_size: 86752 	 relax: 0.003528 	 pack: 0.000001
frontier_size: 86150 	 relax: 0.003728 	 pack: 0.000001
frontier_size: 81065 	 relax: 0.003504 	 pack: 0.000002
frontier_size: 85347 	 relax: 0.004200 	 pack: 0.000002
frontier_size: 93063 	 relax: 0.004049 	 pack: 0.000002
frontier_size: 93643 	 relax: 0.003973 	 pack: 0.000001
frontier_size: 73553 	 relax: 0.004224 	 pack: 0.000002
frontier_size: 64712 	 relax: 0.003429 	 pack: 0.000001
frontier_size: 62723 	 relax: 0.002860 	 pack: 0.000001
frontier_size: 50640 	 relax: 0.002615 	 pack: 0.000001
frontier_size: 35863 	 relax: 0.004732 	 pack: 0.000004
frontier_size: 39043 	 relax: 0.002411 	 pack: 0.000001
frontier_size: 39561 	 relax: 0.002355 	 pack: 0.000001
frontier_size: 46292 	 relax: 0.002400 	 pack: 0.000001
frontier_size: 52352 	 relax: 0.002622 	 pack: 0.000001
frontier_size: 42243 	 relax: 0.002479 	 pack: 0.000001
frontier_size: 31479 	 relax: 0.002794 	 pack: 0.000001
frontier_size: 25073 	 relax: 0.001925 	 pack: 0.000001
frontier_size: 27459 	 relax: 0.001926 	 pack: 0.000001
frontier_size: 35524 	 relax: 0.002324 	 pack: 0.000001
frontier_size: 32679 	 relax: 0.002233 	 pack: 0.000001
frontier_size: 34675 	 relax: 0.002439 	 pack: 0.000001
frontier_size: 32710 	 relax: 0.002913 	 pack: 0.000001
frontier_size: 33604 	 relax: 0.002181 	 pack: 0.000001
frontier_size: 40844 	 relax: 0.002542 	 pack: 0.000001
frontier_size: 47359 	 relax: 0.002864 	 pack: 0.000001
frontier_size: 59166 	 relax: 0.003074 	 pack: 0.000001
frontier_size: 72996 	 relax: 0.003566 	 pack: 0.000002
frontier_size: 71867 	 relax: 0.003633 	 pack: 0.000002
frontier_size: 92004 	 relax: 0.004096 	 pack: 0.000001
frontier_size: 111613 	 relax: 0.004290 	 pack: 0.000001
frontier_size: 144943 	 relax: 0.004676 	 pack: 0.000002
frontier_size: 144627 	 relax: 0.004981 	 pack: 0.000003
frontier_size: 138595 	 relax: 0.005427 	 pack: 0.000002
frontier_size: 132160 	 relax: 0.004711 	 pack: 0.000002
frontier_size: 125781 	 relax: 0.004484 	 pack: 0.000003
frontier_size: 120696 	 relax: 0.008002 	 pack: 0.000003
frontier_size: 126064 	 relax: 0.004402 	 pack: 0.000002
frontier_size: 123480 	 relax: 0.004389 	 pack: 0.000002
frontier_size: 118376 	 relax: 0.006333 	 pack: 0.000004
frontier_size: 118794 	 relax: 0.004623 	 pack: 0.000001
frontier_size: 128109 	 relax: 0.004383 	 pack: 0.000001
frontier_size: 150928 	 relax: 0.005230 	 pack: 0.000002
frontier_size: 152167 	 relax: 0.005114 	 pack: 0.000001
frontier_size: 153509 	 relax: 0.005621 	 pack: 0.000001
frontier_size: 150321 	 relax: 0.005175 	 pack: 0.000002
frontier_size: 142965 	 relax: 0.005205 	 pack: 0.000002
frontier_size: 130888 	 relax: 0.005439 	 pack: 0.000280
frontier_size: 123398 	 relax: 0.004663 	 pack: 0.000002
frontier_size: 131858 	 relax: 0.004594 	 pack: 0.000003
frontier_size: 137043 	 relax: 0.006406 	 pack: 0.000003
frontier_size: 142933 	 relax: 0.004743 	 pack: 0.000002
frontier_size: 164854 	 relax: 0.005252 	 pack: 0.000003
frontier_size: 181207 	 relax: 0.006720 	 pack: 0.000004
frontier_size: 182439 	 relax: 0.006083 	 pack: 0.000003
frontier_size: 146746 	 relax: 0.005450 	 pack: 0.000004
frontier_size: 127627 	 relax: 0.005238 	 pack: 0.000003
frontier_size: 133229 	 relax: 0.007142 	 pack: 0.000007
frontier_size: 150667 	 relax: 0.005318 	 pack: 0.000006
frontier_size: 152182 	 relax: 0.005426 	 pack: 0.000004
frontier_size: 149407 	 relax: 0.006920 	 pack: 0.000008
frontier_size: 155136 	 relax: 0.005473 	 pack: 0.000005
frontier_size: 158393 	 relax: 0.005589 	 pack: 0.000005
frontier_size: 161256 	 relax: 0.006477 	 pack: 0.000005
frontier_size: 166016 	 relax: 0.005720 	 pack: 0.000005
frontier_size: 184816 	 relax: 0.006141 	 pack: 0.000005
frontier_size: 189732 	 relax: 0.007222 	 pack: 0.000005
frontier_size: 197379 	 relax: 0.006509 	 pack: 0.000005
frontier_size: 211469 	 relax: 0.008011 	 pack: 0.000010
