delta
step	origin_time	contract_time
8192	2.5464514500000006	2.1803259000000006
16384	1.2319121	1.0671872500000001
32768	0.6883667999999998	0.56120685
65536	0.37634740000000005	0.3245186500000001
131072	0.22518735000000006	0.1884654
262144	0.17003795	0.14030265
524288	0.18140205000000004	0.1347877
1048576	0.1841815	0.1376003
2097152	0.1931973	0.14068869999999997
4194304	0.34072984999999995	0.17726295
8388608	0.42805910000000014	0.31988675000000005
16777216	0.39304989999999995	0.3550432
33554432	0.41656755	0.36016499999999996
rho
step	origin_time	contract_time
8192	0.2675967	0.18657515000000002
16384	0.23157785000000003	0.1660306
32768	0.21627515000000003	0.15623879999999996
65536	0.21523635	0.15613929999999998
131072	0.21761715	0.1598006
262144	0.2298962	0.16299194999999997
524288	0.23321445000000002	0.16209934999999998
1048576	0.23227959999999997	0.15932979999999997
2097152	0.22823164999999998	0.16315495
4194304	0.23596124999999998	0.1602843
8388608	0.23165924999999996	0.15942164999999994
16777216	0.24109455	0.16133229999999998
33554432	0.22648924999999998	0.16311780000000003
