delta
step	origin_time	contract_time
8192	3.0839991	2.9436042000000002
16384	1.6608834	1.5892796000000002
32768	0.8802743	0.8384373
65536	0.5113340000000001	0.4805383
131072	0.3073359	0.28108110000000003
262144	0.23531900000000006	0.2030705
524288	0.23093919999999998	0.18697789999999997
1048576	0.22378420000000002	0.19047209999999998
2097152	0.2193114	0.18968089999999999
4194304	0.34151800000000004	0.22089540000000002
8388608	0.4180959000000001	0.43560630000000006
16777216	0.4240895	0.4984217
33554432	0.41749179999999997	0.47135800000000005
rho
step	origin_time	contract_time
8192	0.8381630000000001	0.6731684
16384	0.47965800000000003	0.37945070000000003
32768	0.3396732	0.2748243
65536	0.28241109999999997	0.23260620000000004
131072	0.31146219999999997	0.2500094
262144	0.3801274	0.3325387999999999
524288	0.4189423	0.4177567
1048576	0.42373500000000003	0.46993460000000004
2097152	0.41576199999999996	0.458861
4194304	0.42631959999999997	0.4723543
8388608	0.39494229999999997	0.45553849999999996
16777216	0.41230960000000005	0.46031839999999996
33554432	0.41744770000000003	0.46343349999999994
