delta
step	origin_time	contract_time
8192	0.8436692000000001	0.8036160000000001
16384	0.5192399999999999	0.48359679999999994
32768	0.3726052	0.3297405
65536	0.32996800000000004	0.27633870000000005
131072	0.3121598	0.25884380000000007
262144	0.2992585	0.2290992
524288	0.4627172	0.22881799999999997
1048576	0.5946516	0.29613849999999997
2097152	0.5987947000000001	0.31604950000000004
4194304	0.6135214999999999	0.328607
8388608	0.5952027	0.31543999999999994
16777216	0.6018401000000001	0.32380359999999997
33554432	0.6107378000000001	0.3190036
rho
step	origin_time	contract_time
8192	0.7085303	0.5456139999999999
16384	0.45521709999999993	0.3417191
32768	0.3767545	0.2712485
65536	0.36450340000000003	0.2502976
131072	0.43323609999999996	0.2757415
262144	0.5666599	0.3127135
524288	0.5949888	0.31235289999999993
1048576	0.5881068	0.3142199
2097152	0.5930366	0.31682960000000004
4194304	0.6000038999999999	0.31892810000000005
8388608	0.5947991	0.3227525
16777216	0.6044581000000001	0.3254306
33554432	0.5886588	0.3192107
